NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
ALKALIN_LNODE08,CAISO,NODE,Real Time,NV,Esmeralda,37.165607,16426.51055,-373.289112,6.164865,1015.853462,-390.103195
ALKALIN_LNODE09,CAISO,NODE,Real Time,NV,Esmeralda,37.165607,16426.51055,-373.289112,6.164865,1015.853462,-390.103195
ALLEGHNY_6_N001,CAISO,NODE,Real Time,CA,Sierra,35.556937,20762.08463,-187.386697,-1.206384,246.21291,-228.086375
ALLEGHNY_6_N002,CAISO,NODE,Real Time,,,35.556937,20762.08463,-187.386697,-1.206384,246.21291,-228.086375
ALLEN_LNODE-1,CAISO,NODE,Real Time,NV,Clark,41.663157,21529.28939,-323.613582,6.631442,1015.853462,-343.451197
ALLEN_LNODE-2,CAISO,NODE,Real Time,NV,Clark,41.663157,21529.28939,-323.613582,6.631442,1015.853462,-343.451197
ALLEN_LNODE-3,CAISO,NODE,Real Time,NV,Clark,41.663157,21529.28939,-323.613582,6.631442,1015.853462,-343.451197
ALMADEN_6_N001,CAISO,NODE,Real Time,CA,Santa Clara,36.42302,22853.34281,-441.805042,-2.362244,114.42437,-441.843265
ALMADEN_6_N009,CAISO,NODE,Real Time,,,36.42302,22853.34281,-441.805042,-2.362244,114.42437,-441.843265
ALMDACT1_7_B1,CAISO,NODE,Real Time,CA,Alameda,37.619315,22999.47292,-152.443467,-0.81061,345.72003,-241.703637
ALMDACT2_7_B1,CAISO,NODE,Real Time,CA,Placer,37.617811,22999.47292,-152.443467,-0.81061,345.72003,-241.703637
ALPAUGH_1_N001,CAISO,NODE,Real Time,CA,Tulare,34.401155,20974.18421,-150.757382,-2.464313,311.54138,-295.783445
ALPAUGH_1_N004,CAISO,NODE,Real Time,,,34.401155,20974.18421,-150.757382,-2.464313,311.54138,-295.783445
ALPDIST_LNODEXF1,CAISO,NODE,Real Time,WA,King,26.24599,20125.92479,-322.257782,-8.488027,624.252232,-956.967035
ALPDIST_LNODEXF2,CAISO,NODE,Real Time,WA,King,26.245988,20125.92479,-322.257782,-8.488027,624.252232,-956.967035
ALPINE_6_N001,CAISO,NODE,Real Time,CA,San Diego,41.876971,22661.92009,-396.956692,3.551212,420.020702,-426.772237
ALPINE_6_N005,CAISO,NODE,Real Time,CA,San Diego,41.876971,22661.92009,-396.956692,3.551212,420.020702,-426.772237
ALQ_LNODEXF1,CAISO,NODE,Real Time,WA,Skagit,26.426205,20259.79177,-324.300887,-8.481748,624.252232,-956.967035
ALTA_LNODE-3,CAISO,NODE,Real Time,NV,Clark,42.119754,21827.92855,-327.413255,6.6493,1015.853462,-343.451197
ALTA_LNODE-4,CAISO,NODE,Real Time,NV,Clark,42.119754,21827.92855,-327.413255,6.6493,1015.853462,-343.451197
ALTA_LNODE-5,CAISO,NODE,Real Time,NV,Clark,42.119754,21827.92855,-327.413255,6.6493,1015.853462,-343.451197
ALTA_LNODE-6,CAISO,NODE,Real Time,NV,Clark,42.119754,21827.92855,-327.413255,6.6493,1015.853462,-343.451197
ALTA1G_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,38.766401,22918.44255,-56.331262,0.200734,216.319237,-126.49584
ALTA2G_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,38.766401,22918.44255,-56.331262,0.200734,216.319237,-126.49584
ALTA30ST_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA31GT_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA32GT_7_B1,CAISO,NODE,Real Time,,,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA40ST_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA41GT_7_B1,CAISO,NODE,Real Time,CA,San Bernardino,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA42GT_7_B1,CAISO,NODE,Real Time,,,37.558506,22090.38473,-51.35479,0.313586,221.099705,-131.281562
ALTA6B2_7_N003,CAISO,NODE,Real Time,CA,Kern,38.058343,21186.09303,-16.781875,1.429502,215.205755,-155.42527
ALTA6E2_7_N002,CAISO,NODE,Real Time,CA,Kern,37.580215,20659.666,-16.225385,1.429502,215.205755,-155.42527
ALTA-CGE_6_N001,CAISO,NODE,Real Time,,,35.858353,21690.58512,-130.228822,-1.479924,104.84933,-243.910975
ALTAD1_7_N006,CAISO,NODE,Real Time,CA,Kern,37.616014,20698.32271,-16.264842,1.429502,215.205755,-155.42527
